Полином: P(x) = x^35 + x^2 + 1, примитивный; сдвиг влево, Ki = b₁, обратная связь b₁⊕b₃₄
Начальное I до 1-го такта (MSB…LSB): 10000000000000000000000000000000001
Такт	Состояние до сдвига (b₁…b₃₅)	K_i
1	10000000000000000000000000000000001	1
2	00000000000000000000000000000000011	0
3	00000000000000000000000000000000111	0
4	00000000000000000000000000000001111	0
5	00000000000000000000000000000011111	0
6	00000000000000000000000000000111111	0
7	00000000000000000000000000001111111	0
8	00000000000000000000000000011111111	0
9	00000000000000000000000000111111111	0
10	00000000000000000000000001111111111	0
11	00000000000000000000000011111111111	0
12	00000000000000000000000111111111111	0
13	00000000000000000000001111111111111	0
14	00000000000000000000011111111111111	0
15	00000000000000000000111111111111111	0
16	00000000000000000001111111111111111	0
17	00000000000000000011111111111111111	0
18	00000000000000000111111111111111111	0
19	00000000000000001111111111111111111	0
20	00000000000000011111111111111111111	0
21	00000000000000111111111111111111111	0
22	00000000000001111111111111111111111	0
23	00000000000011111111111111111111111	0
24	00000000000111111111111111111111111	0
25	00000000001111111111111111111111111	0
26	00000000011111111111111111111111111	0
27	00000000111111111111111111111111111	0
28	00000001111111111111111111111111111	0
29	00000011111111111111111111111111111	0
30	00000111111111111111111111111111111	0
31	00001111111111111111111111111111111	0
32	00011111111111111111111111111111111	0
33	00111111111111111111111111111111111	0
34	01111111111111111111111111111111111	0
35	11111111111111111111111111111111111	1
36	11111111111111111111111111111111110	1
37	11111111111111111111111111111111100	1
38	11111111111111111111111111111111001	1
39	11111111111111111111111111111110011	1
40	11111111111111111111111111111100110	1
41	11111111111111111111111111111001100	1
42	11111111111111111111111111110011001	1
43	11111111111111111111111111100110011	1
44	11111111111111111111111111001100110	1
45	11111111111111111111111110011001100	1
46	11111111111111111111111100110011001	1
47	11111111111111111111111001100110011	1
48	11111111111111111111110011001100110	1
49	11111111111111111111100110011001100	1
50	11111111111111111111001100110011001	1
51	11111111111111111110011001100110011	1
52	11111111111111111100110011001100110	1
53	11111111111111111001100110011001100	1
54	11111111111111110011001100110011001	1
55	11111111111111100110011001100110011	1
56	11111111111111001100110011001100110	1
57	11111111111110011001100110011001100	1
58	11111111111100110011001100110011001	1
59	11111111111001100110011001100110011	1
60	11111111110011001100110011001100110	1
